,symbol,percent_diff,min,max,avg
77,HDFCNIFTY,17.361536882352766,-0.31753232025403133,27.55432787949091,13.416916644331584
78,QNIFTY,17.335606772780793,-0.4502150580857702,27.295281754063744,13.33920931725203
79,NIFTY1,17.41823760168961,-0.5030033308586546,27.168641566931882,13.212388311269448
80,NAVINIFTY,14.11259752647958,-0.7202054183847156,15.06439551464542,7.969008143043969
81,IDFNIFTYET,16.522986344875534,0.0,27.02897088433116,13.362705963325007
82,MONIFTY500,17.359910180746567,-1.0570376507722168,19.515893270036518,10.40950486787871
83,AXISNIFTY,17.30656385655614,-1.5494645888981684,26.598753902443285,12.55126988291654
84,NIFTYBETF,9.147021476898518,0.0,10.519887747438968,4.711989279134127
85,IVZINNIFTY,17.45380177307289,0.0,27.654735370531764,13.339804083216247
86,BSLNIFTY,17.504683825690396,-0.2625902654037286,27.10306322360675,13.180472708632193
87,NIFTYIETF,17.517075406364828,-0.36916586094751475,27.39849160302989,13.294843828930178
